WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
130.221.224.7 - - [16/Jun/2017 18:47:41] "POST /socket.io/?EIO=3&transport=polling&t=1497638861480-633&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:41] "GET /socket.io/?EIO=3&transport=polling&t=1497638861481-634&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:41] "POST /socket.io/?EIO=3&transport=polling&t=1497638861509-635&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:51] "GET /socket.io/?EIO=3&transport=polling&t=1497638861512-636&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:51] "GET /socket.io/?EIO=3&transport=polling&t=1497638861474-12101&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:51] "POST /socket.io/?EIO=3&transport=polling&t=1497638871439-637&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:47:51] "POST /socket.io/?EIO=3&transport=polling&t=1497638871453-12102&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:01] "GET /socket.io/?EIO=3&transport=polling&t=1497638871439-638&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:01] "GET /socket.io/?EIO=3&transport=polling&t=1497638871454-12103&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:01] "POST /socket.io/?EIO=3&transport=polling&t=1497638881468-639&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:01] "POST /socket.io/?EIO=3&transport=polling&t=1497638881480-12104&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:06] "POST /socket.io/?EIO=3&transport=polling&t=1497638886284-12106&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:06] "GET /socket.io/?EIO=3&transport=polling&t=1497638881480-12105&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:09] "POST /socket.io/?EIO=3&transport=polling&t=1497638889177-641&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:09] "GET /socket.io/?EIO=3&transport=polling&t=1497638881468-640&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:11] "GET /socket.io/?EIO=3&transport=polling&t=1497638889238-642&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:11] "GET /socket.io/?EIO=3&transport=polling&t=1497638886341-12107&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:11] "POST /socket.io/?EIO=3&transport=polling&t=1497638891491-643&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:11] "POST /socket.io/?EIO=3&transport=polling&t=1497638891502-12108&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:21] "GET /socket.io/?EIO=3&transport=polling&t=1497638891492-644&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:21] "GET /socket.io/?EIO=3&transport=polling&t=1497638891502-12109&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:21] "POST /socket.io/?EIO=3&transport=polling&t=1497638901470-645&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:21] "POST /socket.io/?EIO=3&transport=polling&t=1497638901474-12110&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:31] "GET /socket.io/?EIO=3&transport=polling&t=1497638901470-646&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:31] "GET /socket.io/?EIO=3&transport=polling&t=1497638901474-12111&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:31] "POST /socket.io/?EIO=3&transport=polling&t=1497638911507-12112&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:31] "POST /socket.io/?EIO=3&transport=polling&t=1497638911507-647&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:32] "POST /socket.io/?EIO=3&transport=polling&t=1497638912285-12114&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:32] "GET /socket.io/?EIO=3&transport=polling&t=1497638911508-12113&sid=5972713947ae4e4dad90d7717def526b HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:34] "POST /socket.io/?EIO=3&transport=polling&t=1497638914280-649&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
130.221.224.7 - - [16/Jun/2017 18:48:34] "GET /socket.io/?EIO=3&transport=polling&t=1497638911507-648&sid=4b07c28a3b604ad49eddea7425dcf8b5 HTTP/1.1" 200 -
